Price,SKU ,Brand,                                   Title,Color,Material,Desc. Title,Size(Cm),Size (In),Accessories,Serial Number,Exterior,Inside,Pockets,Corners,Policy/Disclosure,Style,Category,Status
"$3,980.00",57012A, LOUIS VUITTON,LOUIS VUITTON Eclipse Split Keepall Bandouliere 50 Boston Bag M43817,BLACK,Leather,LOUIS VUITTON Eclipse Split Keepall Bandouliere 50 Boston Bag M43817,W50cm x H29cm x D22cm,W19.7 x H11.4 x D8.7in,"Dust Bag, Padlock, Key x2, Powanie, Shoulder Strap",DR1108,No Notable Flaws,No Notable Flaws,No Notable Flaws,Rubbing,to be inserted,Boston Bag/Duffle Bag,Men>Bags,FALSE
,,,,,,This would be the first row of the desc followed by a space,Desc Row 3,Desc Row 4,Desc Row 6,Desc Row 8,Desc Row 10,Desc row 12,Desc Row 14,Desc Row 16,Desc Row 18 (Final string of text),,,
